PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
AE18915E;69705;SOCKET;EA;71,07
MS24665-1012;80205;PIN,COTTER;EA;8,18
AN501-10-10;96906;SCREW,MACHINE;EA;11,84
AN773-4;88044;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;45,59
NAS1149F0763P;80205;WASHER,FLAT;EA;3,04
334S609;81348;SCREW,CAP,SOCKET HEAD;EA;687,32
QQA250/52024T3.050;81348;SHEET,METAL;EA;1816,22
7988;K3456;LEVELLING SCREW;EA;1273,21
D3474-1;24692;BULKHEAD;EA;12887,29
024-M0099-03;6141;CABLE ASSEMBLY,SPECIAL PURPOSE,ELECTRICAL;EA;1231,87
AN3-23A;88044;BOLT MACHINE;EA;23,69
AN320-4;80205;NUT,PLAIN,SLOTTED,HEXAGON;EA;6,22
AN310-4;80205;NUT,SELF-LOCKI;EA;5,84
MS24587-4;96906;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;106,92
M6363/2-2;81349;LAMP,INCANDESCENT;EA;143,1
AN3-16A;88044;BOLT MACHINE;EA;17,37
H14-08;15653;NUT,SELF-LOCKING,PLATE;EA;4,71
MS21907-4;96906;ELBOW TUBE;EA;90,41
32316-124;F0189;ANEL DE VEDAÇÃO;EA;56,33
MS24693C227;96906;SCREW,MACHINE;EA;38,46
MS20659-141;96906;TERMINAL, LUG;EA;132,82
B5213-1;72121;CONJ ROLAMENTO;EA;51328,07
KSP4A;21760;BEARING,BALL,AIRFRAME;EA;137,12
AN5538-2;88044;TERMINAL,LUG;EA;451,06
AN173H4A;88044;BOLT;EA;335,13
AN667-3;88044;TERMINALROPE;EA;102,26
MS3120P12-8P;96906;CONNECTOR,RECE;EA;163,54
S2L-326;8118;PACKING,PREFORMED;EA;54,02
MS3367-7-0;81343;STRAP,TIEDOWN,ELECTRICAL COMPONENTS, COLOR BLACK, WIDTH 3/16 IN, THICK 0.055 IN, LENGTH 10.200 IN;EA;16,11
AN818-6C;88044;NUT,TUBE COUPLING;EA;12,42
05-346561;3CPE0;SCREW,MACHINE;EA;16,9
4A-676-21-02;S4956;SUPPORT ADAPTATEUR;EA;2255,28
MS29528-4;96906;COCK,POPPET DR;EA;503,09
